URL,Status,Error
https://goodparty.org/elections/il/de-witt-county/wilson-township,,No response received
https://goodparty.org/elections/il/brown-county/buckhorn-township,,No response received
https://goodparty.org/elections/il/brown-county/cooperstown-township,,No response received
https://goodparty.org/elections/il/brown-county/versailles-township,,No response received
https://goodparty.org/elections/il/cass-county/newmansville-township,,No response received
https://goodparty.org/elections/position/il/gilberts/city-legislature,,No response received
